date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-07-02,228.89,229.15,222.22,224.55,9259027,-2.62,-1.15%,224.55,2077864321.99,98567
2019-07-01,230.21,233.0995,226.28,227.17,8237964,3.71,1.66%,227.17,1887889959.09,81334
2019-06-28,220.99,225.17,220.80,223.46,6851384,0.62,0.28%,223.46,1531268970.05,65543
2019-06-27,219.45,222.90,217.35,222.84,6339710,3.57,1.63%,222.84,1397784852.42,62565
2019-06-26,220.31,227.23,218.10,219.27,8507208,-0.49,-0.22%,219.27,1890166123.30,85031
2019-06-25,224.39,225.34,219.49,219.76,6182071,-3.88,-1.73%,219.76,1368517261.68,56479
2019-06-24,223.24,225.86,221.02,223.64,5750771,1.78,0.80%,223.64,1285124548.09,59145
2019-06-21,216.22,222.18,215.50,221.86,8202078,2.24,1.02%,221.86,1800986852.60,74902
2019-06-20,223.00,226.90,216.35,219.62,11863462,-6.81,-3.01%,219.62,2620671309.14,117872
2019-06-19,225.11,227.77,221.06,226.43,6575135,1.69,0.75%,226.43,1482233689.05,66892
2019-06-18,228.72,234.74,222.56,224.74,12715788,-0.29,-0.13%,224.74,2912185878.66,132942
2019-06-17,215.48,227.00,214.27,225.03,12316803,10.11,4.70%,225.03,2749559931.33,114460
2019-06-14,211.25,216.65,210.40,214.92,7433402,1.01,0.47%,214.92,1588648946.78,72351
2019-06-13,210.38,214.90,207.5103,213.91,8168260,4.65,2.22%,213.91,1734433225.29,74417
2019-06-12,222.95,223.38,209.00,209.26,15197544,-7.84,-3.61%,209.26,3252106999.86,142266
2019-06-11,219.1435,220.90,213.50,217.10,11653537,4.22,1.98%,217.10,2528189787.92,105397
2019-06-10,210.25,216.94,209.01,212.88,10585039,8.38,4.10%,212.88,2260240409.00,101188
2019-06-07,205.00,210.8438,203.499,204.50,16003527,-1.45,-0.70%,204.50,3314332826.23,157397
2019-06-06,204.44,211.00,201.80,205.95,20242151,9.36,4.76%,205.95,4171445091.58,177549
2019-06-05,198.68,201.2782,191.8486,196.59,13510756,2.99,1.54%,196.59,2646389283.58,123501
2019-06-04,181.10,193.98,179.61,193.60,13807522,14.63,8.17%,193.60,2598596296.45,131334
2019-06-03,185.51,186.68,176.9919,178.97,13064410,-6.19,-3.34%,178.97,2361231937.83,129295
2019-05-31,185.10,189.9204,184.10,185.16,10406732,-3.06,-1.63%,185.16,1940088125.58,97933
2019-05-30,188.75,192.255,187.02,188.22,7926475,-1.64,-0.86%,188.22,1496392480.75,77290
2019-05-29,187.10,192.39,185.0401,189.86,11968638,1.16,0.61%,189.86,2260933466.88,111314
2019-05-28,191.20,195.00,187.85,188.70,10312901,-1.93,-1.01%,188.70,1963441705.16,104206
2019-05-24,199.83,199.98,188.7505,190.63,14136572,-4.86,-2.49%,190.63,2717997391.38,138857
2019-05-23,194.34,199.465,186.22,195.49,26547142,2.76,1.43%,195.49,5155308197.25,237584
2019-05-22,199.10,203.94,191.78,192.73,18685187,-12.35,-6.02%,192.73,3671626838.54,188159
2019-05-21,197.76,207.40,196.04,205.08,18003899,-0.28,-0.14%,205.08,3651354300.63,168916
2019-05-20,202.80,206.00,195.25,205.36,20526195,-5.67,-2.69%,205.36,4134336112.98,208156
2019-05-17,221.96,222.24,208.92,211.03,17786666,-17.30,-7.58%,211.03,3843612755.30,195064
2019-05-16,229.49,231.00,226.50,228.33,7483273,-3.62,-1.56%,228.33,1710475962.90,81276
2019-05-15,229.32,232.44,225.25,231.95,7295976,-0.36,-0.15%,231.95,1676127884.42,79213
2019-05-14,229.30,234.50,228.00,232.31,7252412,5.30,2.33%,232.31,1679997451.89,83667
2019-05-13,232.01,232.47,224.50,227.01,10834796,-12.51,-5.22%,227.01,2464607027.44,138343
2019-05-10,239.75,241.99,236.02,239.52,7008336,-2.46,-1.02%,239.52,1672394012.49,77937
2019-05-09,242.00,243.68,236.9434,241.98,6711382,-2.86,-1.17%,241.98,1613198220.27,76082
2019-05-08,246.94,250.599,244.20,244.84,6176440,-2.22,-0.90%,244.84,1525374967.49,65862
2019-05-07,256.80,257.21,245.10,247.06,10131408,-8.28,-3.24%,247.06,2529430512.07,103693
2019-05-06,250.02,258.3499,248.50,255.34,10833943,0.31,0.12%,255.34,2752026716.88,93066
2019-05-03,243.86,256.61,243.49,255.03,23706771,10.93,4.48%,255.03,5987599451.14,205076
2019-05-02,245.52,247.13,237.72,244.10,18159339,10.09,4.31%,244.10,4403189029.02,173520
2019-05-01,238.85,240.00,231.50,234.01,10704354,-4.68,-1.96%,234.01,2510947849.38,108382
2019-04-30,242.06,244.21,237.00,238.69,9464628,-2.78,-1.15%,238.69,2272380670.75,88562
2019-04-29,235.86,243.98,232.17,241.47,16714476,6.33,2.69%,241.47,4004505139.23,165120
2019-04-26,246.50,246.68,231.13,235.14,22360709,-12.49,-5.04%,235.14,5310828669.06,258318
2019-04-25,255.00,259.00,246.07,247.63,21849393,-11.03,-4.26%,247.63,5477678985.85,252490
2019-04-24,263.85,265.32,258.00,258.66,10727454,-5.24,-1.99%,258.66,2801619958.37,127499
2019-04-23,260.15,265.60,255.75,263.90,10943859,1.15,0.44%,263.90,2869403868.47,109237
2019-04-22,269.00,269.68,262.48,262.75,12147141,-10.51,-3.85%,262.75,3211295450.58,129726
2019-04-18,271.23,274.84,269.75,273.26,5876325,2.03,0.75%,273.26,1604642320.70,54881
2019-04-17,274.75,274.79,268.535,271.23,5126468,-2.13,-0.78%,271.23,1392933080.01,55079
2019-04-16,265.75,275.00,264.72,273.36,7272930,6.98,2.62%,273.36,1976276192.62,80304
2019-04-15,268.63,268.88,258.63,266.38,10038579,-1.32,-0.49%,266.38,2638060270.32,109071
2019-04-12,270.22,271.95,266.83,267.70,6745974,-0.72,-0.27%,267.70,1814909044.80,67156
2019-04-11,268.30,270.50,265.60,268.42,9835927,-7.64,-2.77%,268.42,2635491876.35,110278
2019-04-10,276.74,278.38,272.8925,276.06,7061314,3.75,1.38%,276.06,1948929915.97,67468
2019-04-09,271.65,275.00,269.61,272.31,5904031,-0.89,-0.33%,272.31,1610404460.77,56969
2019-04-08,277.69,281.16,270.44,273.20,10410436,-1.76,-0.64%,273.20,2863379594.95,100256
